xathin,xatka,xatal,xatit
dubhun,dubka,dubal,dubut
xilhin,xilka,xilal,xilit
koʔhin,koʔko,koʔol,koʔit
doshin,dosko,doːsol,doːsit
ṣaphin,ṣapka,ṣaːpal,ṣaːpit
lanhin,lanka,laːnal,laːnit
mekhin,mekka,meːkal,meːkit
wonhin,wonko,woːnol,woːnit
paxathin,paxatka,paxaːtal,paxaːtit
hiwethin,hiwetka,hiweːtal,hiweːtit
ʔopothin,ʔopotko,ʔopoːtol,ʔopoːtit
jawalhin,jawalka,jawaːlal,jawaːlit
paʔiṭhin,paʔiṭka,paʔṭal,paʔṭit
ʔilikhin,ʔilikka,ʔilkal,ʔilkit
loɡiwhin,loɡiwka,loɡwol,loɡwit
ʔuɡunhun,ʔuɡunka,ʔuɡnal,ʔuɡnut
lihimhin,lihimka,lihmal,lihmit
ʔajijhin,ʔajijka,ʔajjal,ʔajjit
tojixhin,tojixka,tojxol,tojxit
lukulhun,lukulka,luklal,luklut
soːnilhin,soːnilka,sonlol,sonlit
ʔaːmilhin,ʔaːmilka,ʔamlal,ʔamlit
moːjinhin,moːjinka,mojnol,mojnit
ṣaːlikhin,ṣaːlikka,ṣalkal,ṣalkit