kalap,kalabban,kalaptoːl,kalapnak
kuːt,kuːdban,kuːttoːl,kuːtnak
ʒaːk,ʒaːɡban,ʒaːktoːl,ʒaːknak
reːs,reːzben,reːstøːl,reːsnek
ʃroːf,ʃroːvban,ʃroːftoːl,ʃroːfnak
lakaːʃ,lakaːʒban,lakaːʃtoːl,lakaːʃnak
ketreʦ,ketreʣben,ketreʦtøːl,ketreʦnek
test,tezdben,testtøːl,testnek
rab,rabban,raptoːl,rabnak
kaːd,kaːdban,kaːttoːl,kaːdnak
meleɡ,meleɡben,melektøːl,meleɡnek
viːz,viːzben,viːstøːl,viːznek
varaːʒ,varaːʒban,varaːʃtoːl,varaːʒnak
aːɡʲ,aːɡʲban,aːkʲtoːl,aːɡʲnak
sem,semben,semtøːl,semnek
byn,bynben,byntøːl,bynnek
toroñ,toroñban,toroñtoːl,toroñnak
fal,falban,faltoːl,falnak
øːr,øːrben,øːrtøːl,øːrnek
saːj,saːjban,saːjtoːl,saːjnak