əkelj,əkeljə
mal,malə
siβil,siβilə
əskerp,əskerpə
ʃop,ʃopə
sɛk,sɛkə
əspɛs,əspɛsə
ɡros,ɡrosə
baʃ,baʃə
koʃ,koʃə
tot,totə
brut,brutə
pɔk,pɔkə
prəsis,prəsizə
frənses,frənsezə
ɡris,ɡrizə
kəzat,kəzaðə
bwit,bwiðə
rɔʧ,rɔʒə
boʧ,boʒə
orp,orβə
ljark,ljarɣə
sek,seɣə
fəʃuk,fəʃuɣə
ɡrok,ɡroɣə
puruk,puruɣə
kandit,kandiðə
frɛt,frɛðə
səɣu,səɣurə
du,durə
səɣəðo,səɣəðorə
kla,klarə
nu,nuə
kru,kruə
flɔñʤu,flɔñʤə
dropu,dropə
əɡzaktə,əɡzaktə
əlβi,əlβinə
sa,sanə
pla,planə
bo,bonə
sərɛ,sərɛnə
suβlim,suβlimə
al,altə
fɔr,fɔrtə
kur,kurtə
sor,sorðə
bɛr,bɛrðə
san,santə
kəlɛn,kəlɛntə
prufun,prufundə
fəkun,fəkundə
dəsen,dəsentə
dulen,dulentə
əstuðian,əstuðiantə
blaŋ,blaŋkə