kanadan,kanada,kanadat,kanadalta,kanadana
kirjan,kirja,kirjat,kirjalta,kirjana
aamun,aamu,aamut,aamulta,aamuna
talon,talo,talot,talolta,talona
koiran,koira,koirat,koiralta,koirana
hyvæn,hyvæ,hyvæt,hyvæltæ,hyvænæ
kuvan,kuva,kuvat,kuvalta,kuvana
lain,laki,lait,lailta,lakina
nælæn,nælkæ,nælæt,nælæltæ,nælkænæ
jalan,jalka,jalat,jalalta,jalkana
leuan,leuka,leuat,leualta,leukana
paran,parka,parat,paralta,parkana
reiæn,reikæ,reiæt,reiæltæ,reikænæ
nahan,nahka,nahat,nahalta,nahkana
vihon,vihko,vihot,viholta,vihkona
laihan,laiha,laihat,laihalta,laihana
avun,apu,avut,avulta,apuna
halvan,halpa,halvat,halvalta,halpana
orvon,orpo,orvot,orvolta,orpona
leivæn,leipæ,leivæt,leivæltæ,leipænæ
pæivæn,pæivæ,pæivæt,pæivæltæ,pæivænæ
kilvan,kilpa,kilvat,kilvalta,kilpana
kylvyn,kylpy,kylvyt,kylvyltæ,kylpynæ
tavan,tapa,tavat,tavalta,tapana
korvan,korva,korvat,korvalta,korvana
æidin,æiti,æidit,æidiltæ,æitinæ
kodin,koti,kodit,kodilta,kotina
muodon,muoto,muodot,muodolta,muotona
tædin,tæti,tædit,tædiltæ,tætinæ
kadun,katu,kadut,kadulta,katuna
maidon,maito,maidot,maidolta,maitona
pøydæn,pøytæ,pøydæt,pøydæltæ,pøytænæ
tehdyn,tehty,tehdyt,tehdyltæ,tehtynæ
læmmøn,læmpø,læmmøt,læmmøltæ,læmpønæ
laŋŋan,laŋka,laŋŋat,laŋŋalta,laŋkana
sæŋŋyn,sæŋky,sæŋŋyt,sæŋŋyltæ,sæŋkynæ
hinnan,hinta,hinnat,hinnalta,hintana
linnun,lintu,linnut,linnulta,lintuna
opinnon,opinto,opinnot,opinnolta,opintona
rannan,ranta,rannat,rannalta,rantana
luonnon,luonto,luonnot,luonnolta,luontona
punnan,punta,punnat,punnalta,puntana
tunnin,tunti,tunnit,tunnilta,tuntina
kunnon,kunto,kunnot,kunnolta,kuntona
kannun,kannu,kannut,kannulta,kannuna
linnan,linna,linnat,linnalta,linnana
tumman,tumma,tummat,tummalta,tummana
auriŋŋon,auriŋko,auriŋŋot,auriŋŋolta,auriŋkona
reŋŋin,reŋki,reŋŋit,reŋŋiltæ,reŋkinæ
vaŋŋin,vaŋki,vaŋŋit,vaŋŋilta,vaŋkina
kellon,kello,kellot,kellolta,kellona
kellan,kelta,kellat,kellalta,keltana
sillan,silta,sillat,sillalta,siltana
kullan,kulta,kullat,kullalta,kultana
virran,virta,virrat,virralta,virtana
parran,parta,parrat,parralta,partana