aɣa,aɣalar,aɣalɨɨn
paarta,paartalar,paartalɨɨn
tɨa,tɨalar,tɨalɨɨn
kiniɡe,kiniɡeler,kiniɡeliin
ʃie,ʃieler,ʃieliin
ije,ijeler,ijeliin
kini,kiniler,kiniliin
bie,bieler,bieliin
oɣo,oɣolor,oɣoluun
χopto,χoptolor,χoptoluun
børø,børølør,børølyyn
tɨal,tɨallar,tɨallɨɨn
ɨal,ɨallar,ɨallɨɨn
kuul,kuullar,kuulluun
at,attar,attɨɨn
balɨk,balɨktar,balɨktɨɨn
ɨskaap,ɨskaaptar,ɨskaaptɨɨn
oɣus,oɣustar,oɣustuun
kus,kustar,kustuun
tynnyk,tynnykter,tynnyktyyn
sep,septer,septiin
et,etter,ettiin
ørys,øryster,ørystyyn
tiis,tiister,tiistiin
soroχ,soroχtor,soroχtuun
oχ,oχtor,oχtuun
oloppos,oloppostor,oloppostuun
øtøχ,øtøχtør,øtøχtyyn
ubaj,ubajdar,ubajdɨɨn
saraj,sarajdar,sarajdɨɨn
tɨj,tɨjdar,tɨjdɨɨn
atɨɨr,atɨɨrdar,atɨɨrdɨɨn
ojuur,ojuurdar,ojuurduun
yʧyɡej,yʧyɡejder,yʧyɡejdiin
eʃiij,eʃiijder,eʃiijdiin
tomtor,tomtordor,tomtorduun
moɣotoj,moɣotojdor,moɣotojduun
køtør,køtørdør,køtørdyyn
bølkøj,bølkøjdør,bølkøjdyyn
χatɨŋ,χatɨŋnar,χatɨŋnɨɨn
aan,aannar,aannɨɨn
tiiŋ,tiiŋner,tiiŋniin
sordoŋ,sordoŋnor,sordoŋnuun
olom,olomnor,olomnuun
oron,oronnor,oronnuun
bødøŋ,bødøŋnør,bødøŋnyyn