plást,plastá,plasjkjí,,,,,
skorúx,skoruxá,skorusjí,,,,,
ɣjrjíx,ɣjrjixá,ɣjrjisjí,,,,,
pastúx,pastuxá,pastusjí,,,,,
mjnjúx,mjnjúxa,mjnjúsji,,,,,
plúɣ,plúɣa,plúzji,,,,,
sjtjíɣ,stóɣa,stózji,,,,,
sák,sáka,sátsji,,,,,
bék,bəká,bətsjí,,,,,
lést,ləstá,ləsjkjí,,,,,
lést,lésta,lésjkji,,,,,
pjljít,plóta,plókji,,,,,
sjmjrjíd,smróda,smróɡji,,,,,
fjíst,fostá,fosjkjí,,,,,
mjíst,mósta,mósjkji,,,,,
ljíd,lǽdu,lədú,,,,,
djrjít,dróta,drókji,,,,,
mjíd,mǽdu,mədú,,,,,
vjíl,volá,voljí,,,,,
vjíz,vóza,vózji,,,,,
sér,séra,sérji,,,,,
sjnjíp,snopá,snopjí,,,,,
ɣréb,ɣrəbá,ɣrəbjí,,,,,
lǽbjid,lǽbəda,lǽbəɡji,,,,,
bǽrjiɣ,bǽrəɣa,bǽrəzji,,,,,
pərjíɣ,pəróɣa,pərózji,,,,,
porjíɣ,poróɣa,porózji,,,,,
boljék,boljəká,boljətsjí,,,,,
vórjiɣ,vóroɣa,vórozji,,,,,
kónək,kónəka,kónətsji,,,,,
pótjik,potóka,potótsji,,,,,
tjík,tóka,tótsji,,,,,
kjíl,kolá,koljí,,,,,
,,,koválj,kovaljé,kovalé,,
,,,ʤmjílj,ʤmjiljé,ʤmjilé,,
,,,kjrjílj,kjrjiljé,kjrjilé,,
,,,uʧétəlj,uʧétəljə,uʧétələ,,
,,,ɡrǽbjinj,ɡrǽbənjə,ɡrǽbənə,,
,,,ólənj,ólənjə,ólənə,,
,,,jaʧjmjínj,jaʧmǽnjə,jaʧmǽnə,,
,,,jásjinj,jásənjə,jásənə,,
,,,zjékj,zjékjə,zjétə,,
,,,,,,másjkj,mástə
,,,,,,sjmjírjkj,smǽrtə
,,,,,,vjísjkj,vjístə
,,,,,,ráɡjisjkj,rádostə
,,,,,,sjílj,sólə
,,,,,,póʃjisjkj,póʃəstə
,,,,,,zámjikj,zámətə
,,,,,,skátərjkj,skátərtə
,,,,,,kjísjkj,kóstə