daar,daarta,daaro,,,
ɡees,ɡeesta,ɡeeso,,,
laf,lafta,lafo,,,
luɡ,luɡta,luɣo,,,
naaɡ,naaɡta,naaɣo,,,
tib,tibta,tiβo,,,
sab,sabta,saβo,,,
bad,bada,baðo,,,
ʃid,ʃida,ʃiðo,,,
feeḍ,feeḍa,feeṛo,,,
ʕiir,ʕiirta,ʕiiro,,,
ʔul,ʔuʃa,ʔulo,,,
bil,biʃa,bilo,,,
meel,meeʃa,meelo,,,
kaliil,kaliiʃa,kaliilo,,,
najl,najʃa,najlo,,,
sun,sunta,sumo,,,
laan,laanta,laamo,,,
sin,sinta,simo,,,
dan,danta,dano,,,
daan,daanta,daano,,,
saan,saanta,saano,,,
niriɡ,niriɡta,nirɡo,,,
ɡaβaḍ,ɡaβaḍa,ɡabḍo,,,
hoɣol,hoɣoʃa,hoɡlo,,,
baɣal,baɣaʃa,baɡlo,,,
waħar,waħarta,waħaro,,,
irbad,irbada,irbaðo,,,
kefed,kefeda,kefeðo,,,
ʃilin,ʃilinta,ʃilino,,,
bohol,bohoʃa,boholo,,,
ʔaajad,ʔaajada,ʔaajaðo,,,
ɡaʕan,ɡaʕanta,ɡaʕmo,,,
ʔinan,ʔinanta,ʔinano,,,
,,,suɣaj,suɡtaj,suɡnaj
,,,kaβaj,kabtaj,kabnaj
,,,siðaj,sidaj,sidnaj
,,,dilaj,diʃaj,dillaj
,,,ɡanaj,ɡantaj,ɡannaj
,,,tumaj,tuntaj,tunnaj
,,,arɡaj,araɡtaj,araɡnaj
,,,ɡudbaj,ɡuðubtaj,ɡuðubnaj
,,,qoslaj,qosoʃaj,qosollaj
,,,hadlaj,haðaʃaj,haðallaj