kentapal,kentapalin,kentapalŋar,kentapaluṛ
ketar,ketarin,ketarŋar,ketaruṛ
mijaṛ,mijaṛin,mijaṛŋar,mijaṛuṛ
jupur,jupurin,jupurŋar,jupuruṛ
taŋur,taŋurin,taŋurŋar,taŋuruṛ
jaraman,jaramanin,jaramanar,jaramankuṛ
maaṇ,maaṇin,maaṇar,maaṇkuṛ
pirŋen,pirŋenin,pirŋenar,pirŋenkuṛ
mela,melan,melaŋar,melaṛ
tawa,tawan,tawaŋar,tawaṛ
wanka,wankan,wankaŋar,wankaṛ
kuŋka,kuŋkan,kuŋkaŋar,kuŋkaṛ
tarŋka,tarŋkan,tarŋkaŋar,tarŋkaṛ
ŋuka,ŋukun,ŋukuŋar,ŋukuṛ
ŋuṛa,ŋuṛun,ŋuṛuŋar,ŋuṛuṛ
kaṭa,kaṭun,kaṭuŋar,kaṭuṛ
muṇa,muṇun,muṇuŋar,muṇuṛ
ŋawa,ŋawun,ŋawuŋar,ŋawuṛ
keṇṭe,keṇṭin,keṇṭiŋar,keṇṭiwuṛ
tjimpe,tjimpin,tjimpiŋar,tjimpiwuṛ
ŋiṇe,ŋiṇin,ŋiṇiŋar,ŋiṇiwuṛ
pape,papin,papiŋar,papiwuṛ
tjempe,tjempen,tjempeŋar,tjempeṛ
wiṭe,wiṭen,wiṭeŋar,wiṭeṛ
waŋal,waŋalkin,waŋalkar,waŋalkuṛ
menjel,menjelkin,menjelkar,menjelkuṛ
makar,makarkin,makarkar,makarkuṛ
jalul,jalulun,jaluluŋar,jaluluṛ
majar,majaran,majaraŋar,majaraṛ
talkur,talkuran,talkuraŋar,talkuraṛ
wiwal,wiwalan,wiwalaŋar,wiwalaṛ
karikar,karikarin,karikariŋar,karikariwuṛ
jilijil,jilijilin,jilijiliŋar,jilijiliwuṛ
jukar,jukarpan,jukarpaŋar,jukarpaṛ
pulŋar,pulŋarpan,pulŋarpaŋar,pulŋarpaṛ
wulun,wulunkan,wulunkaŋar,wulunkaṛ
wuṭal,wuṭaltjin,wuṭaltjiŋar,wuṭaltjiwur
kantukan,kantukantun,kantukantuŋar,kantukantuṛ
karwakar,karwakarwan,karwakarwaŋar,karwakarwaṛ
turara,turaraŋin,turaraŋar,turaraŋkuṛ
ŋalu,ŋalukin,ŋalukar,ŋalukuṛ
kurka,kurkaŋin,kurkaŋar,kurkaŋkuṛ
taŋku,taŋkuŋin,taŋkuŋar,taŋkuŋkuṛ
kurpuṛu,kurpuṛuŋin,kurpuṛuŋar,kurpuṛuŋkuṛ
putu,putukan,putukaŋar,putukaṛ
maali,maalijan,maalijaŋar,maalijaṛ
tjiṇtirpu,tjiṇtirpuwan,tjiṇtirpuwaŋar,tjiṇtirpuwaṛ
pukatji,pukatjijan,pukatjijaŋar,pukatjijaṛ
murkuni,murkuniman,murkunimaŋar,murkunimaṛ
ŋawuŋa,ŋawuŋawun,ŋawuŋawuŋar,ŋawuŋawuṛ
tipiti,tipitipin,tipitipiŋar,tipitipiwuṛ
tapu,taputjin,taputjiŋar,taputjiwuṛ
muŋkumu,muŋkumuŋkun,muŋkumuŋkuŋar,muŋkumuŋkuṛ
tjumputju,tjumputjumpun,tjumputjumpuŋar,tjumputjumpuṛ