olo,oloia
lafo,lafoia
aŋa,aŋaia
usu,usuia
tau,tauia
taui,tauia
saːʔili,saːʔilia
vaŋai,vaŋaia
paʔi,paʔia
naumati,naumatia
saːuni,saːunia
seŋi,seŋia
lele,lelea
suʔe,suʔea
taʔe,taʔea
tafe,tafea
taːupule,taːupulea
palepale,palepalea
tuː,tuːlia
tau,taulia
ʔalo,ʔalofia
oso,osofia
sao,saofia
asu,asuŋia
pole,poleŋia
ifo,ifoŋia
ula,ulaŋia
milo,milosia
valu,valusia
vela,velasia
api,apitia
eʔe,eʔetia
lavaː,lavaːtia
uː,uːtia
puni,punitia
siʔo,siʔomia
ŋalo,ŋalomia
sopo,sopoʔia
au,aulia
maːtau,maːtaulia
ili,ilifia
ulu,ulufia
taŋo,taŋofia
soa,soaŋia
fesili,fesiliŋia
ʔote,ʔoteŋia
tofu,tofuŋia
laʔa,laʔasia
taŋi,taŋisia
motu,motusia
mataʔu,mataʔutia
sau,sautia
oʔo,oʔotia
ufi,ufitia
tanu,tanumia
moʔo,moʔomia
tao,taomia
fana,fanaʔia